0610005C13Rik,1,3,1,1,0,2,1,2,1,0,2
0610007P14Rik,150,125,187,177,147,51,94,81,149,143,90
0610009B22Rik,442,523,522,570,420,234,498,463,552,417,356
0610009L18Rik,410,326,347,350,412,146,263,250,179,139,132
0610009O20Rik,2926,3153,3120,3480,3475,1626,3832,3239,4228,3398,3028
0610010B08Rik,7,25,13,25,22,12,1,16,11,8,14
0610010F05Rik,222,289,312,348,279,179,680,385,757,633,543
0610010K14Rik,598,702,749,745,706,296,395,410,421,327,314
0610011F06Rik,476,450,516,593,498,235,398,295,341,328,280
0610012G03Rik,2602,2840,3164,3140,3036,1364,1488,1977,1716,1451,1443
0610030E20Rik,485,479,541,527,455,334,625,477,872,713,543
0610031O16Rik,0,1,0,0,0,0,1,0,0,0,0
0610037L13Rik,989,1103,1117,1157,1051,565,562,623,684,529,491
0610038B21Rik,8,14,12,16,11,8,19,11,23,12,10
0610039H22Rik,0,1,1,0,0,0,0,0,0,0,0
0610039K10Rik,1,0,3,3,1,1,4,2,2,3,5
0610040B10Rik,142,159,147,166,155,84,117,81,80,97,79
0610040F04Rik,7,3,1,8,4,10,5,3,3,6,0
0610040J01Rik,49,25,34,45,54,7,28,11,17,44,19
0610043K17Rik,6,3,10,10,10,7,8,5,16,5,15
1010001N08Rik,0,2,1,2,1,0,0,0,2,3,4
1110001J03Rik,2075,2017,2319,2075,2290,910,681,1293,945,764,693
1110002L01Rik,181,179,187,156,120,83,205,121,248,178,130
1110004E09Rik,747,748,858,865,784,439,488,400,510,440,377
1110004F10Rik,1339,1415,1510,1647,1406,776,1454,1048,1502,1427,1094
1110006O24Rik,10,23,20,17,13,10,13,28,19,10,7
1110007C09Rik,2090,2035,2215,2378,2098,1110,1144,1310,1280,1081,985
1110008F13Rik,1053,1235,1409,1518,1564,374,1200,1362,1424,1236,962
1110008L16Rik,188,251,209,197,184,99,364,269,388,303,261
1110008P14Rik,483,506,617,678,650,245,318,302,290,335,236
1110012L19Rik,207,261,294,341,314,120,332,281,321,292,274
1110015O18Rik,0,0,1,0,0,0,0,0,0,0,0
1110017D15Rik,5,7,3,3,13,9,5,0,1,1,0
1110019D14Rik,77,84,86,100,61,44,53,23,54,48,30
1110020A21Rik,329,341,286,298,353,146,230,328,280,193,169
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0
1110028F11Rik,1,2,3,0,0,0,0,0,0,0,0
1110028F18Rik,2,1,0,2,0,0,0,1,0,0,1
1110032A03Rik,197,184,175,205,203,81,185,139,165,146,110
1110032F04Rik,1,2,2,1,0,1,1,0,1,4,0
1110034G24Rik,134,106,116,135,100,72,84,105,113,64,63
1110036E04Rik,0,0,0,0,0,0,0,0,0,0,0
1110037F02Rik,642,673,657,723,554,356,1003,497,1132,861,762
1110038B12Rik,147,166,196,211,270,116,198,276,227,183,153
1110038F14Rik,492,490,510,582,520,198,441,328,416,390,287
1110046J04Rik,5,10,5,21,18,8,15,19,19,15,14
1110051M20Rik,305,381,318,380,309,221,422,333,421,297,299
1110058D11Rik,0,0,0,0,2,0,0,0,0,1,1
1110059E24Rik,214,279,338,300,299,103,379,188,429,412,237
1110059G10Rik,268,345,351,328,280,162,397,255,453,371,312
1110065P20Rik,532,571,632,613,636,261,314,330,324,297,214
1190002F15Rik,20,21,21,21,17,8,7,3,3,3,3
1190002N15Rik,636,614,751,947,493,344,1322,513,1283,1116,603
1190003K10Rik,21,39,7,20,26,5,13,5,5,13,9
1190005I06Rik,0,0,0,1,0,0,1,0,0,0,0
1190007I07Rik,219,564,398,423,414,249,224,182,123,123,115
1200014J11Rik,289,337,363,376,314,132,488,369,566,520,382
1300002E11Rik,179,154,175,201,170,89,174,114,175,184,130
1300017J02Rik,1,0,1,6,3,3,3,0,2,4,1
1500004A13Rik,9,9,5,10,2,2,9,11,5,9,10
1500009C09Rik,0,3,2,0,1,0,0,1,0,0,2
1500009L16Rik,85,49,81,85,56,21,76,45,65,50,30
1500011B03Rik,75,72,101,95,126,25,81,66,92,83,70
1500011K16Rik,1567,1493,1585,1699,1651,769,777,864,739,723,544
1500012F01Rik,252,272,322,299,324,156,230,241,250,234,179
1500012K07Rik,23,40,66,72,113,58,80,52,94,60,59
1500015A07Rik,81,71,61,89,64,43,91,47,85,82,56
1500015L24Rik,0,0,0,0,0,0,0,0,0,0,0
1500015O10Rik,35,20,56,67,19,2,111,172,402,32,10
1500017E21Rik,449,360,293,481,309,286,711,409,736,543,442
1500026H17Rik,0,69,36,10,27,26,16,0,16,0,7
1600002D24Rik,0,0,0,0,0,0,0,0,0,0,1
1600002H07Rik,95,102,107,122,95,63,111,135,156,119,75
1600002K03Rik,146,129,144,187,102,76,62,48,78,76,66
1600010M07Rik,1,0,5,1,1,0,1,0,2,0,7
1600012H06Rik,355,432,469,507,395,201,595,357,640,602,341
1600014C10Rik,636,904,713,924,559,437,582,470,645,815,649
1600014C23Rik,2,1,1,5,4,0,0,1,2,1,2
1600014K23Rik,1,3,2,1,0,1,0,0,0,0,0
1600015I10Rik,1,1,6,4,3,2,1,3,0,3,3
1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,197,137,144,178,120,121,138,97,136,99,89
1600023N17Rik,1,3,2,0,5,2,1,0,1,0,2
1600025M17Rik,0,0,0,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,1,0,0,0,0,0,0,0
1600029I14Rik,0,3,0,0,0,0,0,0,0,0,0
1600029O15Rik,4,5,6,4,10,2,7,5,15,16,5
